Neighborhood,count,final_score
Roosevelt Island,1,0.0
Marble Hill,2,1.2195121951219512
Tribeca,4,3.6585365853658534
West Village,5,4.878048780487805
Lenox Hill,5,4.878048780487805
Chinatown,7,7.317073170731707
Soho,7,7.317073170731707
Gramercy,7,7.317073170731707
Upper East Side,8,8.536585365853659
East Village,8,8.536585365853659
Manhattanville,10,10.975609756097562
Clinton,11,12.195121951219512
Noho,12,13.414634146341465
Morningside Heights,12,13.414634146341465
Carnegie Hill,12,13.414634146341465
Little Italy,14,15.853658536585366
Manhattan Valley,14,15.853658536585366
East Harlem,14,15.853658536585366
Turtle Bay,16,18.29268292682927
Inwood,23,26.82926829268293
Upper West Side,24,28.04878048780488
Washington Heights,25,29.268292682926827
Hamilton Heights,25,29.268292682926827
Central Harlem,26,30.48780487804878
Sutton Place,28,32.926829268292686
Civic Center,39,46.34146341463415
Lincoln Square,40,47.5609756097561
Greenwich Village,41,48.78048780487805
Flatiron,49,58.536585365853654
Midtown South,51,60.97560975609756
Midtown,83,100.0
Financial District,83,100.0
