Age,q,c,o
1,0.308108108,0.383783784,0.308108108
2,0.308108108,0.383783784,0.308108108
3,0.308108108,0.383783784,0.308108108
4,0.308108108,0.383783784,0.308108108
5,0.308108108,0.383783784,0.308108108
6,0.308108108,0.383783784,0.308108108
7,0.308108108,0.383783784,0.308108108
8,0.308108108,0.383783784,0.308108108
9,0.308108108,0.383783784,0.308108108
10,0.308108108,0.383783784,0.308108108
11,0.308108108,0.383783784,0.308108108
12,0.308108108,0.383783784,0.308108108
13,0.308108108,0.383783784,0.308108108
14,0.308108108,0.383783784,0.308108108
15,0.308108108,0.383783784,0.308108108
16,0.308108108,0.383783784,0.308108108
17,0.308108108,0.383783784,0.308108108
18,0.308108108,0.383783784,0.308108108
19,0.308108108,0.383783784,0.308108108
20,0.308108108,0.383783784,0.308108108
21,0.308108108,0.383783784,0.308108108
22,0.308108108,0.383783784,0.308108108
23,0.308108108,0.383783784,0.308108108
24,0.308108108,0.383783784,0.308108108
25,0.308108108,0.383783784,0.308108108
26,0.308108108,0.383783784,0.308108108
27,0.308108108,0.383783784,0.308108108
28,0.308108108,0.383783784,0.308108108
29,0.375,0.363095238,0.261904762
30,0.375,0.363095238,0.261904762
31,0.375,0.363095238,0.261904762
32,0.375,0.363095238,0.261904762
33,0.375,0.363095238,0.261904762
34,0.375,0.363095238,0.261904762
35,0.375,0.363095238,0.261904762
36,0.375,0.363095238,0.261904762
37,0.375,0.363095238,0.261904762
38,0.375,0.363095238,0.261904762
39,0.416666667,0.333333333,0.25
40,0.416666667,0.333333333,0.25
41,0.416666667,0.333333333,0.25
42,0.416666667,0.333333333,0.25
43,0.416666667,0.333333333,0.25
44,0.416666667,0.333333333,0.25
45,0.416666667,0.333333333,0.25
46,0.416666667,0.333333333,0.25
47,0.416666667,0.333333333,0.25
48,0.416666667,0.333333333,0.25
49,0.416666667,0.333333333,0.25
50,0.416666667,0.333333333,0.25
51,0.416666667,0.333333333,0.25
52,0.416666667,0.333333333,0.25
53,0.416666667,0.333333333,0.25
54,0.440944882,0.283464567,0.275590551
55,0.440944882,0.283464567,0.275590551
56,0.440944882,0.283464567,0.275590551
57,0.440944882,0.283464567,0.275590551
58,0.440944882,0.283464567,0.275590551
59,0.440944882,0.283464567,0.275590551
60,0.440944882,0.283464567,0.275590551
61,0.440944882,0.283464567,0.275590551
62,0.440944882,0.283464567,0.275590551
63,0.440944882,0.283464567,0.275590551
64,0.541666667,0.09375,0.364583333
65,0.541666667,0.09375,0.364583333
66,0.541666667,0.09375,0.364583333
67,0.541666667,0.09375,0.364583333
68,0.541666667,0.09375,0.364583333
69,0.541666667,0.09375,0.364583333
70,0.541666667,0.09375,0.364583333
71,0.541666667,0.09375,0.364583333
72,0.541666667,0.09375,0.364583333
73,0.555555556,0.037037037,0.407407407
74,0.555555556,0.037037037,0.407407407
75,0.555555556,0.037037037,0.407407407
76,0.555555556,0.037037037,0.407407407
77,0.555555556,0.037037037,0.407407407
78,0.555555556,0.037037037,0.407407407
79,0.555555556,0.037037037,0.407407407
80,0.555555556,0.037037037,0.407407407
81,0.555555556,0.037037037,0.407407407
82,0.555555556,0.037037037,0.407407407
83,0.555555556,0.037037037,0.407407407
84,0.555555556,0.037037037,0.407407407
85,0.555555556,0.037037037,0.407407407
86,0.555555556,0.037037037,0.407407407
87,0.555555556,0.037037037,0.407407407
88,0.555555556,0.037037037,0.407407407
89,0.555555556,0.037037037,0.407407407
90,0.555555556,0.037037037,0.407407407
91,0.555555556,0.037037037,0.407407407
92,0.555555556,0.037037037,0.407407407
93,0.555555556,0.037037037,0.407407407
94,0.405594406,0.3076923,0.2867133
