,longitude,latitude,neighborhood,twitter_score,door_dash_score,grocery_score,streeteasy_score,mta_score,output
15,40.75469110270627,-73.98166882730311,Midtown,49.89669416,,29.9,57.635326,100.0,63.47659089833023
29,40.70710710727052,-74.01066544521277,Financial District,37.71947542,,22.16,65.831406,100.0,61.787359790183054
3,40.86768396449919,-73.92121042203905,Inwood,40.34076466,59.2955,,100.0,26.82926829,57.13244505788292
33,40.748509664312245,-73.98871313285254,Midtown South,50.3529827,,23.71,62.512104,60.97560976,51.70454297613743
18,40.72693288536132,-73.99991402945909,Greenwich Village,51.02848723,,35.57,63.18393,48.7804878,50.68698455784815
38,40.73967304763847,-73.99094710528267,Flatiron,57.81086808,,19.59,47.659744,58.53658537,47.37261862243283
1,40.715618422314364,-73.99427936255985,Chinatown,60.21274792,,41.75,81.61217,7.317073171,46.32846174248435
6,40.81597606742418,-73.94321112603912,Central Harlem,43.45128839,,1.03,89.78541,30.48780488,44.14421486975979
4,40.82360428481197,-73.94968791883373,Hamilton Heights,22.19518726,,,90.71322,29.26829268,44.01655874438683
7,40.79224946663037,-73.94418223148531,East Harlem,55.62736415,,1.55,91.36572,15.85365854,42.66922527219572
19,40.72784677727029,-73.98222616506425,East Village,49.05120323,,31.44,74.65844,8.536585366,40.355600171811446
2,40.85190252555309,-73.93690027985242,Washington Heights,7.810185725,,,95.42523,29.26829268,39.53307852822242
22,40.71932379395911,-73.9973046720808,Little Italy,31.90231018,,24.23,72.82074,15.85365854,37.14019883586167
12,40.7876579985349,-73.9770592363061,Upper West Side,37.64569644,3.187,3.61,70.98092,28.04878049,34.990137279272595
26,40.80799973816586,-73.96389627905339,Morningside Heights,42.98142581,,0.0,76.17961,13.41463415,34.68579994630505
8,40.77563857330185,-73.96050763135007,Upper East Side,43.31403786,,1.55,79.405464,8.536585366,34.49154560017619
24,40.734433935724375,-74.00617998126819,West Village,56.53611776,5.4795,30.41,63.53758,4.87804878,32.21377846262781
11,40.762403730702246,-73.9494705736962,Roosevelt Island,45.81252855,0.0,27.32,73.99317,0.0,31.10220744033277
23,40.72218384131798,-74.00065666959766,Soho,52.79338033,,4.64,38.631065,7.317073171,24.974776091677
21,40.72152196744325,-74.01068328559094,Tribeca,71.41402074,,8.76,5.2778625,3.658536585,18.898004070130035
